(90036,180.39999999999998)
(54236,162.00000000000003)
(38058,104.0)
(32067,289.40000000000003)
(31671,255.8)
(24336,349.20000000000005)
(92726,83.60000000000001)
(3061,383.0)
(11419,145.0)
(3247,57.599999999999994)
(74261,225.0)
(81308,250.60000000000002)
(10748,319.80000000000007)
(73248,195.60000000000002)
(82741,25.200000000000003)
(15297,149.4)
(11053,214.4)
(1423,112.80000000000001)
(9654,295.0)
(46567,161.60000000000002)
(17017,26.599999999999998)
(61546,326.4)
(29535,167.0)
(3162,228.60000000000002)
(60280,119.2)
(19222,173.0)
(63533,264.20000000000005)
(64477,220.8)
(76658,188.8)
(99815,296.4)
(27579,51.2)
(35930,25.200000000000003)
(96528,235.00000000000003)
(88255,202.2)
(29339,97.0)
(44769,76.0)
(9498,204.0)
(45061,162.8)
(35532,99.00000000000001)
(39561,121.6)
(46729,85.4)
(68020,102.0)
(30311,227.60000000000002)
(99875,189.8)
(11828,166.8)
(96454,326.0)
(60879,31.6)
(56180,153.4)
(20525,256.20000000000005)
(12825,234.40000000000003)
(72658,88.2)
(36250,43.0)
(74700,72.4)
(21973,78.60000000000001)
(6167,73.80000000000001)
(92113,109.8)
(51963,49.2)
(84631,171.20000000000002)
(5038,181.80000000000004)
(15587,124.79999999999998)
(19219,135.8)
(64062,159.4)
(16245,46.6)
(71576,59.2)
(89638,30.400000000000002)
(99783,114.4)
(25487,88.4)
(57509,115.20000000000002)
(26646,70.60000000000001)
(4242,156.4)
(4163,94.0)
